"","NES"
"PAK2",2.21585617467795
"PRKCD",-1.01327189553638
"PIM2",-0.210768973056421
"CAMK2A",-1.8095883064896
"CSNK2A1",4.61017368175403
"AURKA",-0.48878064773321
"LATS1",0.429827178089094
"VRK1",1.19802040171463
"CDK7",3.70654278857849
"EGFR",0.635555155227955
"STK38",-0.746132364050497
"PRKAG2",-0.128404297865375
"FYN",-0.564634050252468
"PRKAA1",-1.1757388002184
"CDK12",1.26472713537382
"CAMK4",-1.08605914253244
"PRKAA2",-0.523169856952034
"CSNK1E",-0.773290793728348
"MAPKAPK2",-1.76720603558666
"CAMK1",-0.711221846330915
"RPS6KB1",-0.289806592849467
"AKT1",0.757691143722412
"TBK1",0.378368919537285
"PRKCB",-1.14078456736847
"SYK",-1.04060276691105
"LYN",1.207961839989
"PRKCI",0.052048327411877
"CDKL5",0.744942690751589
"MAPK11",0.697379862838456
"RAF1",-1.2574197409317
"CDK11B",1.17197346839611
"GSK3B",0.82586144482623
"MARK3",0.391472809700524
"AKT2",0.40891541876541
"PRKCQ",-0.56557834108954
"FGR",0.69076637424619
"PRKACB",-0.964808347817166
"STK11",-0.672900676737088
"RPS6KA1",0.695614093577653
"CHEK1",-0.357643340938228
"PRKACA",-0.226257821984
"MARK1",0.248945417655452
"MAPK3",0.358899134099114
"CSNK1D",-1.54426810209578
"CDK16",1.14468750156407
"SRC",-0.941485051893577
"CDK3",1.49965358264714
"RPS6KA4",0.618140839481054
"ILK",0.51414874793503
"GRK5",0.545768287636149
"PRKCE",-2.28597788136047
"PTK2B",-1.09469242634032
"RPS6KB2",-0.0190916525227924
"UHMK1",1.12503543291219
"MAPK9",1.72151533872725
"CDK1",2.29240115644126
"PRKG1",-2.33177359314173
"KSR1",-0.701367407199878
"PAK4",-1.68525765482675
"MARK2",0.826409590984452
"MAPKAPK5",1.59532081854676
"ABL1",-1.0422252616039
"CSNK1A1",0.519000092555877
"CHEK2",1.28480407044611
"CAMK2D",-0.30439091923307
"PRKCA",-1.17978352223605
"RIPK2",-0.821508076026946
"HIPK2",-0.620469560360149
"CLK1",0.300890323514095
"CDK10",1.17197346839611
"PRKDC",0.951965767919516
"PKN1",-0.348113533736926
"PRKD1",0.0631099146561591
"MAP3K7",1.04801689884974
"EIF2AK2",-1.01322788345224
"MET",-1.30350435358176
"ULK3",0.214265846871636
"CLK2",0.445904648114459
"SGK1",1.54250226106254
"MTOR",-0.013400561532536
"CDC7",3.07155126190425
"MAPK8",2.28685000494237
"MAPKAPK3",0.252538765837957
"MAPK1",-0.293423522353874
"DYRK1B",0.130960602600284
"MKNK2",-0.129191669128862
"PIM3",-1.04719217723122
"LCK",0.0386895204722524
"IKBKE",1.24317277553677
"MAPK12",0.247693269237341
"MAP2K4",0.721022991163017
"PDPK1",-2.11013711679348
"MAP3K5",0.203678137227146
"CDK4",1.11881751464292
"CSNK2A2",2.28966716685799
"LRRK2",-0.123967582558295
"SIK1",-1.47755112205991
"MAPK14",0.826858807555551
"CHUK",1.51614084742851
"CDK2",3.73929783556469
"NLK",-0.745380922495143
"RET",-0.341039964275193
"GSK3A",2.02158585944711
"LIMK2",-1.44868709748852
"DYRK1A",-0.909479280088388
"PLK1",0.595952425630675
"JAK2",-0.570834109543176
"PRKCH",-1.05758165888771
"CDK19",1.17197346839611
"CDK5",1.77472732680214
"PRKD2",-0.20638823341704
"CSK",-1.89844298890944
"MAP2K6",0.226996041855996
"ROCK1",-0.201960247403004
"PRKG2",-1.41424352398899
"CDK9",2.4866851695578
"MAP2K1",-1.11977107624207
"PAK1",-0.172086724151408
"MAP2K3",0.119462024528811
"CDK6",1.39778407262873
"CDK8",1.10683399242525
"PTK2",-0.516177762226824
"GRK2",-0.00252201242358806
"PRKAB1",-0.632664956501269
"MAP2K2",-0.160106890614015
"MAPK7",0.240123156288425
"PIM1",-1.21319515655275
"DYRK2",3.03224254846192
"PKM",1.60918884407407
"ATR",0.56330737998237
"LIMK1",1.0146475836479
"HCK",0.659777382631682
"ROCK2",0.889671182712241
"MAP3K14",-0.19178049781135
"WNK1",1.1964672669959
"INSR",-1.83134385357721
"MAP3K8",-0.037218131929062
"RPS6KA3",-0.460808033649627
"LATS2",-0.416228983501684
"CSNK2B",-0.529078274238374
"SGK3",1.38981206667155
"ATM",0.611544467713534
"MAPK13",-0.16934686112156
"TTK",0.0749977644059378
"IKBKB",1.28056755501081
"RPS6KA2",0.24607832441274
"AURKB",1.84173845446022
"PRKCZ",-0.813717413551912
"SRPK2",-1.85026581834213
"PRKX",-1.00447046936361
"MAPK6",-1.07079158215463
"CAMK2G",-1.55513490569646
"PDK1",-0.662971476297695
"PBK",1.77748913889216
"BRAF",-1.67412591852211
"NEK9",-2.13639151939805
"PRKCG",-1.15573173567805
"SRPK1",0.626470959538996
"WEE1",1.03991800534732
"PLK3",1.51956233439658
"CDK13",1.17197346839611
"MAPK10",1.98092253515723
"CDK20",1.17197346839611
"AKT3",-0.0980998265908796
"MAP3K1",-0.672804363535204
"RPS6KA5",-0.603497303392924
"STK17A",0.513486474965675
"MAPK15",0.233411504541031
"TTBK1",-2.47082933645319
"NUAK1",-0.123981327419819
"MAPK4",-0.708154144961239
"CDK5R1",-0.766634099827912
"PPP1CC",0.683458047027338
"CCNB1",2.02474938802625
"PPP2CA",0.117462125361557
"RPTOR",-0.87204315316811
"AKT1S1",0.560513188417351
"MLST8",-0.549296195364435
"DEPTOR",0.344327741503893
"PTPN1",0
"PPP1CA",0.443719071543855
"PPP3CA",1.02220628504235
"PPP3CC",1.02220628504235
"PTPRG",0
"PRKAG3",-0.128404297865375
"PRKAG1",-0.128404297865375
"PRKAB2",-0.128404297865375
"PTPN11",-0.0246808708539799
"SGK2",0.873766211651853
"PPM1D",0.667390288447214
"PPP3CB",1.02220628504235
"PTPN2",0.352038108733614
"PPP2CB",0.0316949630452271
"DUSP4",0
"PTPRR",0
"DUSP1",0
"PRKACG",-1.12185885766349
"DUSP3",-0.123647671323033
"CCNA2",1.18920500895384
"CCNE2",2.1092052903031
"PPP1CB",0.74814665175485
"PPM1A",0.968960050608747
"PPP3R1",-0.0318309773647012
"HRAS",0.81064367454461
"PTPN12",0.88589936666104
"PTPN7",-0.252647505174313
"PTEN",0.445210162350099
"PDP1",-9.06493303673679e-17
"TNF",0.102760783883012
"CDK17",2.28264610363435
"DYRK4",0.757361537089548
"PRKY",-1.06645604359326
"PIK3C3",-0.102653567213719
"CLK3",1.12441695935206
"RSKR",-0.0269797541652049
"CDK18",1.17197346839611
"RPS6KA6",-0.0269797541652049
"PKD1",-0.368437690254468
"AGT",-0.148205815169583
"EGF",1.29301719130225
"TGFB1",-0.0640920509147623
"INS",0.407257597503776
"FGF2",-1.24104147488609
"IFNG",-0.597712239754465
"LEP",-0.49559106518696
"ANXA1",0.47565490934948
"BDNF",-0.456596618570063
"RAC1",-0.511193399540648
"JUN",0.373901642706371
"HGF",-0.328213547576888
"PMAIP1",1.51617228521306
"ATF2",1.19269832189263
"ROS1",0.927370474435669
"RHOA",0.272463476299601
"IL2",-0.308476333148702
"F2",-0.419952207271571
"IGF1",0.225660598394353
"GKN2",0.651753608297528
"FN1",1.35256675631777
"ANGPT1",1.31386484991054
"PRRT2",0.851329636404489
"RPS6",0.906533898644347
"TFRC",0.103136999911338
"F2R",0.311276153592008
"APP",1.01399797921489
"DIPK2A",-1.1055787476017
"CDKN1A",0.97772309941019
"GCG",-1.0216636903357
"DUSP8",-0.103194526865455
"DUSP16",0.206954024952338
"AVP",-1.63344093581281
"MAPT",-2.59908354850483
"LPA",-1.7874297315456
"HRES1",-1.10983608652251
